invoice_id,gl_id,bank_txn_id,tier,confidence,justification
INV-1001,GL-5001,BTX-9001,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1005,GL-5005,BTX-9005,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1006,GL-5006,BTX-9006,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1007,GL-5007,BTX-9007,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1011,GL-5010,BTX-9011,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1013,GL-5012,BTX-9013,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1015,GL-5014,BTX-9015,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1018,GL-5017,BTX-9017,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1019,GL-5018,BTX-9018,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1023,GL-5022,BTX-9021,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1024,GL-5023,BTX-9022,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1025,GL-5024,BTX-9023,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1026,GL-5025,BTX-9024,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1028,GL-5027,BTX-9026,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1029,GL-5028,BTX-9027,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1031,GL-5030,BTX-9029,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1033,GL-5032,BTX-9031,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1034,GL-5033,BTX-9032,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1036,GL-5035,BTX-9034,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1038,GL-5037,BTX-9037,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1039,GL-5038,BTX-9038,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1043,GL-5042,BTX-9042,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1045,GL-5044,BTX-9044,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1048,GL-5047,BTX-9048,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1049,GL-5048,BTX-9049,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1054,GL-5053,BTX-9055,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1056,GL-5055,BTX-9058,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1057,GL-5056,BTX-9059,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1058,GL-5057,BTX-9060,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1060,GL-5059,BTX-9062,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1061,GL-5060,BTX-9063,1_exact,1.0,"Exact match: same amount and same date across invoice, GL, and bank."
INV-1002,GL-5002,BTX-9002,2_fuzzy_vendor,0.78,"No invoice reference in bank memo 'ACH CREDIT ACME CORP'; matched by vendor-name similarity (0.50), amount, and date within tolerance."
INV-1003,GL-5003,BTX-9003,2_fuzzy_amount,0.85,Bank amount differs by 121.46 (within FX/fee tolerance); dates align.
INV-1004,GL-5004,BTX-9004,2_fuzzy_vendor,0.79,"No invoice reference in bank memo 'ACH CREDIT HOOLI CONS'; matched by vendor-name similarity (0.54), amount, and date within tolerance."
INV-1009,GL-5008,BTX-9009,2_fuzzy_vendor,0.78,"No invoice reference in bank memo 'ACH CREDIT WAYNE LOG'; matched by vendor-name similarity (0.51), amount, and date within tolerance."
INV-1010,GL-5009,BTX-9010,2_fuzzy_vendor,0.78,"No invoice reference in bank memo 'ACH CREDIT WAYNE LOG'; matched by vendor-name similarity (0.51), amount, and date within tolerance."
INV-1012,GL-5011,BTX-9012,2_fuzzy_vendor,0.78,"No invoice reference in bank memo 'ACH CREDIT STARK MAT'; matched by vendor-name similarity (0.51), amount, and date within tolerance."
INV-1014,GL-5013,BTX-9014,2_fuzzy_timing,0.93,"Same amount, bank settled 1 day(s) after invoice/GL date (settlement lag)."
INV-1020,GL-5019,BTX-9054,2_fuzzy_vendor,0.74,"No invoice reference in bank memo 'ACH CREDIT SOYLENT FRT'; matched by vendor-name similarity (0.37), amount, and date within tolerance."
INV-1022,GL-5021,BTX-9020,2_fuzzy_vendor,0.8,"No invoice reference in bank memo 'ACH CREDIT UMBRELLA SUP'; matched by vendor-name similarity (0.60), amount, and date within tolerance."
INV-1027,GL-5026,BTX-9025,2_fuzzy_vendor,0.8,"No invoice reference in bank memo 'ACH CREDIT SOYLENT FRT'; matched by vendor-name similarity (0.59), amount, and date within tolerance."
INV-1030,GL-5029,BTX-9028,2_fuzzy_timing,0.93,"Same amount, bank settled 1 day(s) after invoice/GL date (settlement lag)."
INV-1032,GL-5031,BTX-9030,2_fuzzy_amount,0.85,Bank amount differs by 68.52 (within FX/fee tolerance); dates align.
INV-1035,GL-5034,BTX-9033,2_fuzzy_vendor,0.78,"No invoice reference in bank memo 'ACH CREDIT WAYNE LOG'; matched by vendor-name similarity (0.51), amount, and date within tolerance."
INV-1040,GL-5039,BTX-9039,2_fuzzy_timing,0.93,"Same amount, bank settled 3 day(s) after invoice/GL date (settlement lag)."
INV-1041,GL-5040,BTX-9040,2_fuzzy_vendor,0.79,"No invoice reference in bank memo 'ACH CREDIT INITECH SOL'; matched by vendor-name similarity (0.56), amount, and date within tolerance."
INV-1042,GL-5041,BTX-9041,2_fuzzy_amount,0.85,Bank amount differs by 65.61 (within FX/fee tolerance); dates align.
INV-1044,GL-5043,BTX-9043,2_fuzzy_timing,0.93,"Same amount, bank settled 2 day(s) after invoice/GL date (settlement lag)."
INV-1046,GL-5045,BTX-9046,2_fuzzy_vendor,0.8,"No invoice reference in bank memo 'ACH CREDIT SOYLENT FRT'; matched by vendor-name similarity (0.59), amount, and date within tolerance."
INV-1047,GL-5046,BTX-9047,2_fuzzy_vendor,0.79,"No invoice reference in bank memo 'ACH CREDIT HOOLI CONS'; matched by vendor-name similarity (0.54), amount, and date within tolerance."
INV-1050,GL-5049,BTX-9050,2_fuzzy_vendor,0.78,"No invoice reference in bank memo 'ACH CREDIT GLOBEX IND'; matched by vendor-name similarity (0.53), amount, and date within tolerance."
INV-1052,GL-5051,BTX-9053,2_fuzzy_timing,0.93,"Same amount, bank settled 3 day(s) after invoice/GL date (settlement lag)."
INV-1055,GL-5054,BTX-9057,2_fuzzy_vendor,0.8,"No invoice reference in bank memo 'ACH CREDIT APERTURE DEV'; matched by vendor-name similarity (0.62), amount, and date within tolerance."
INV-1059,GL-5058,BTX-9061,2_fuzzy_vendor,0.79,"No invoice reference in bank memo 'ACH CREDIT INITECH SOL'; matched by vendor-name similarity (0.56), amount, and date within tolerance."
INV-1062,GL-5061,BTX-9064,2_fuzzy_vendor,0.79,"No invoice reference in bank memo 'ACH CREDIT INITECH SOL'; matched by vendor-name similarity (0.56), amount, and date within tolerance."
INV-1016,GL-5015,BTX-9016,3_agent,0.82,"Agent matched combined bank line referencing INV-1016, INV-1017; sum of invoice amounts equals bank total."
INV-1021,GL-5020,BTX-9019,3_agent,0.82,"Agent matched combined bank line referencing INV-1020, INV-1021; sum of invoice amounts equals bank total."
INV-1037,GL-5036,BTX-9035+BTX-9036,3_agent,0.82,"Agent summed 2 partial bank lines referencing INV-1037 (2088.94, 2180.03) = invoice amount."
INV-1051,GL-5050,BTX-9051+BTX-9052,3_agent,0.82,"Agent summed 2 partial bank lines referencing INV-1051 (1357.59, 1897.04) = invoice amount."
